algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.118,30.446,0.956,0.956,0.956,0.956,0.956,0.948,0.918,0.948,0.044,0.044,0.120,0.449,0.670,0.951,91.098
Linear Regression,0.024,1.474,0.374,0.421,0.374,0.335,0.342,0.313,0.259,0.271,0.626,0.626,1.411,4.035,2.009,0.248,20.074
Logistic Regression,0.109,138.451,0.653,0.684,0.653,0.629,0.632,0.604,0.543,0.596,0.347,0.347,1.060,4.672,2.161,0.537,10.123
KNN,198.088,0.292,0.956,0.957,0.956,0.956,0.956,0.949,0.918,0.949,0.044,0.044,0.127,0.509,0.714,0.956,89.910
Random Forest,7.843,560.305,0.969,0.969,0.969,0.969,0.969,0.964,0.942,0.964,0.031,0.031,0.083,0.307,0.554,0.968,93.918
MLP,0.396,1650.652,0.876,0.875,0.876,0.873,0.873,0.856,0.793,0.856,0.124,0.124,0.380,1.697,1.303,0.857,66.382
Bagging,0.853,133.844,0.965,0.965,0.965,0.965,0.965,0.959,0.934,0.959,0.035,0.035,0.095,0.358,0.598,0.963,92.906
J48,0.066,28.551,0.957,0.957,0.957,0.957,0.957,0.950,0.920,0.950,0.043,0.043,0.114,0.424,0.652,0.953,91.584
ANN,19.520,243.755,0.720,0.717,0.720,0.698,0.695,0.679,0.602,0.674,0.280,0.280,0.894,4.042,2.010,0.640,21.668
DNN,20.137,309.323,0.810,0.808,0.810,0.802,0.803,0.781,0.705,0.780,0.190,0.190,0.618,2.894,1.701,0.768,42.667
Gradient Boosting,5.007,3749.155,0.909,0.910,0.909,0.908,0.909,0.895,0.843,0.895,0.091,0.091,0.268,1.150,1.073,0.898,77.192
XGBoost,1.646,66.415,0.957,0.957,0.957,0.957,0.957,0.950,0.921,0.950,0.043,0.043,0.115,0.438,0.662,0.955,91.309
Gaussian Naive Bayes,0.509,0.636,0.571,0.650,0.571,0.552,0.583,0.539,0.479,0.505,0.429,0.429,1.679,8.655,2.942,0.468,-57.098
Adaptive Gradient Boosting,18.115,1660.242,0.819,0.819,0.819,0.818,0.819,0.789,0.718,0.789,0.181,0.181,0.538,2.300,1.517,0.779,54.397
QDA,0.601,1.121,0.077,0.012,0.077,0.019,0.014,0.000,0.010,0.000,0.923,0.923,4.127,21.980,4.688,0.111,-3.172
SNN,21.783,359.153,0.862,0.862,0.862,0.860,0.860,0.840,0.775,0.839,0.138,0.138,0.432,1.949,1.396,0.839,61.354
RBM,23.382,270.393,0.253,0.064,0.253,0.102,0.075,0.000,0.064,0.000,0.747,0.747,1.786,5.539,2.354,0.111,-0.000
LSTM,55.792,2382.309,0.869,0.871,0.869,0.867,0.868,0.849,0.784,0.848,0.131,0.131,0.416,1.898,1.378,0.850,62.369
reconstruction_NN,21.910,320.868,0.813,0.812,0.813,0.804,0.806,0.785,0.709,0.783,0.187,0.187,0.593,2.697,1.642,0.772,47.064
DANN,22.954,308.084,0.826,0.826,0.826,0.819,0.821,0.799,0.724,0.798,0.174,0.174,0.567,2.627,1.621,0.789,47.952
DBN,1.932,823.348,0.536,0.506,0.536,0.472,0.467,0.490,0.416,0.449,0.464,0.464,1.345,5.149,2.269,0.356,-1.632
DBM,18.708,354.080,0.857,0.855,0.857,0.852,0.853,0.835,0.768,0.834,0.143,0.143,0.444,2.007,1.417,0.831,60.204
DA,19.114,577.781,0.878,0.878,0.878,0.876,0.877,0.858,0.797,0.858,0.122,0.122,0.389,1.772,1.331,0.860,64.908
PassiveAggressiveClassifier,0.066,22.340,0.597,0.637,0.597,0.589,0.603,0.540,0.498,0.533,0.403,0.403,1.390,6.785,2.605,0.491,-32.093
RidgeClassifier,0.057,1.187,0.595,0.638,0.595,0.547,0.553,0.552,0.461,0.526,0.405,0.405,1.302,6.091,2.468,0.463,-10.428
NearestCentroid,0.096,0.334,0.499,0.554,0.499,0.467,0.491,0.433,0.359,0.414,0.501,0.501,1.435,6.174,2.485,0.397,-10.899
CSLR,0.060,49.998,0.684,0.702,0.684,0.657,0.661,0.642,0.566,0.633,0.316,0.316,1.307,6.851,2.617,0.593,-23.020
CSBC erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LightGBM erroralgo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LDA,1.798,61.425,0.514,0.424,0.514,0.436,0.427,0.506,0.402,0.418,0.486,0.486,1.303,4.503,2.122,0.316,13.012
GRU,7.693,266.315,0.752,0.741,0.752,0.739,0.738,0.714,0.638,0.712,0.248,0.248,0.799,3.700,1.924,0.688,28.745
Stochastic_gradient,0.013,2.422,0.647,0.642,0.647,0.633,0.634,0.592,0.539,0.589,0.353,0.353,1.049,4.377,2.092,0.538,13.483
Extra Trees Classifier,0.639,11.508,0.933,0.933,0.933,0.932,0.932,0.922,0.880,0.922,0.067,0.067,0.191,0.765,0.875,0.928,84.871
Feed Forward Neural Networks,3.334,56.853,0.794,0.792,0.794,0.786,0.788,0.762,0.687,0.761,0.206,0.206,0.668,3.096,1.760,0.743,39.908
Fuzzy,0.082,9.977,0.106,0.153,0.106,0.116,0.134,0.007,0.063,0.007,0.894,0.894,2.954,13.750,3.708,0.108,-169.330
EDLNs,11.504,291.894,0.811,0.807,0.811,0.801,0.802,0.783,0.705,0.781,0.189,0.189,0.619,2.906,1.705,0.765,43.264
GMM,59.530,3.678,0.711,0.734,0.711,0.696,0.711,0.675,0.598,0.666,0.289,0.289,0.914,4.223,2.055,0.647,19.089
Bernoulli Naive Bayes,0.017,0.085,0.509,0.612,0.509,0.459,0.472,0.452,0.372,0.430,0.491,0.491,1.832,9.425,3.070,0.403,-84.589
CatBoost,0.116,181.323,0.926,0.926,0.926,0.925,0.926,0.915,0.869,0.914,0.074,0.074,0.214,0.888,0.942,0.920,82.452
Centralised Blending,0.000,35.392,0.859,0.858,0.859,0.850,0.851,0.837,0.756,0.835,0.141,0.141,0.263,0.805,0.897,0.831,84.139
BLoCNet,3.343,70.062,0.791,0.781,0.791,0.772,0.770,0.759,0.677,0.757,0.209,0.209,0.676,3.114,1.765,0.732,39.053
constructive_learning,0.012,1.488,0.907,0.907,0.907,0.907,0.907,0.892,0.842,0.892,0.093,0.093,0.257,1.029,1.014,0.893,79.662
